advertised_date,number_of_bedrooms,rent,floor_area,level,suburb,furnished,tenancy_preference,number_of_bathrooms,point_of_contact,secondary_address,building_number,street_name,street_suffix,prefix,first_name,last_name,gender,phone_number,email
2022-06-13,5,1323.0,3200,10 out of 16,Sydney,Semi-Furnished,Bachelors/Family,5,Contact Agent,633/,0,Reyes Circlet,Crossing,Mr.,Mr.,Brent,m,2672-6856,trussell@example.com
2022-05-23,1,578.0,330,20 out of 22,Sydney,Unfurnished,Bachelors/Family,1,Contact Owner,Flat 31 ,427,Tucker Extension,Quad,,Audrey,Gillespie,u,+61872458081,serranoabigail@example.com
2022-06-04,1,580.0,225,18 out of 25,Sydney,Unfurnished,Bachelors/Family,1,Contact Owner,Suite 556 ,24,Jonathan Port,Reach,,Nicole,Clark,u,+61.421.695.068,rossscott@example.com
2022-06-23,3,747.0,1050,5 out of 7,Sydney,Furnished,Bachelors/Family,3,Contact Agent,Unit 50 ,51,Angela Causeway,Gully,Miss,Angela,Mitchell,f,40544812,tamara87@example.org
2022-05-19,1,579.0,225,4 out of 7,Sydney,Semi-Furnished,Bachelors,1,Contact Agent,25/,7,Arroyo Quad,Piazza,Mrs.,Angela,Johnson,f,+61.408.559.877,usmith@example.org
2022-05-27,2,747.0,1500,15 out of 17,Sydney,Furnished,Bachelors/Family,4,Contact Owner,Unit 43 ,2,Jackson Byway,Gap,,Jesse,Bonilla,u,(08).3499.4951,mary22@example.org
2022-05-27,2,645.0,1000,15 out of 23,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Agent,Apt. 432 ,363,Craig Right Of Way,Crossing,Mr.,Jimmy,Fuentes,m,6795.2518,jilliansalinas@example.com
2022-06-20,2,613.0,700,5 out of 17,Sydney,Unfurnished,Bachelors,2,Contact Owner,3/,5,Rebecca Dale,Formation,Dr.,Kristine,Young,f,(03)05024120,gomezdawn@example.org
2022-06-23,1,594.0,355,2 out of 7,Sydney,Unfurnished,Bachelors/Family,1,Contact Owner,Suite 122 ,18,Mary Ridge,Alley,Dr.,Tyler,Hernandez,m,0404.955.481,wgates@example.org
2022-06-23,3,619.0,1325,3 out of 28,Sydney,Furnished,Bachelors/Family,3,Contact Agent,Flat 42 ,703,Jason Quays,Circle,Dr.,Aaron,Guzman,m,9868.8092,danielsmichael@example.com
2022-04-29,2,619.0,950,4 out of 8,Sydney,Furnished,Bachelors/Family,2,Contact Owner,Suite 884 ,968,Hughes Pocket,Court,,Karen,Vasquez,u,+61-3-8031-2642,chelseablevins@example.net
2022-06-04,1,609.0,600,5 out of 24,Sydney,Semi-Furnished,Bachelors/Family,1,Contact Owner,Suite 812 ,7,Schmidt Deviation,Edge,Dr.,Theresa,Woods,f,(07)34723218,abuckley@example.org
2022-05-30,2,580.0,905,16 out of 32,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Owner,Apt. 365 ,695,Jennifer Crest,Deviation,,Nicholas,Hill,u,+61-3-9818-3275,ellisjacqueline@example.org
2022-06-20,2,626.0,850,3 out of 3,Sydney,Semi-Furnished,Bachelors,2,Contact Agent,Unit 37 ,3,Matthew Walkway,Crossing,Mr.,Vincent,Morrison,m,+61 465 410 522,scotttimothy@example.net
2022-06-26,3,606.0,1100,21 out of 22,Sydney,Unfurnished,Family,2,Contact Owner,Level 2 ,008,Brown Crossing,Chase,Dr.,James,Wade,m,(08) 3185 4633,peterscristian@example.com
2022-06-12,1,606.0,430,4 out of 8,Sydney,Unfurnished,Bachelors/Family,2,Contact Agent,Level 5 ,2,Shelton Trailer,Ridge,Mrs.,Mrs.,Claire,f,0555 2836,tespinoza@example.com
2022-05-20,2,683.0,800,9 out of 12,Sydney,Furnished,Bachelors/Family,2,Contact Agent,Unit 89 ,782,Stephanie Mews,Pass,Miss,Connie,Hill,f,08-0096-0639,lisa05@example.com
2022-06-23,1,609.0,700,15 out of 32,Sydney,Furnished,Bachelors/Family,1,Contact Agent,Suite 408 ,379,Allen Alleyway,Brow,,Mark,Henry,u,0476 936 913,gacosta@example.com
2022-06-12,2,606.0,575,4 out of 7,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Agent,487/,950,Stephen Rise,Viaduct,Dr.,Kyle,Jones,m,+61-2-2514-4590,rachel70@example.com
2022-06-12,2,619.0,650,Ground out of 3,Sydney,Furnished,Bachelors,3,Contact Agent,70/,883,Cynthia Alley,Range,Dr.,Ryan,Young,m,0787902157,paulamoore@example.net
2022-06-24,1,569.0,200,4 out of 4,Sydney,Furnished,Bachelors/Family,1,Contact Owner,Apt. 975 ,90,Andres Edge,Bend,,Dr.,Joanne,u,+61.441.737.460,gonzalezdavid@example.org
2022-04-29,2,619.0,1200,2 out of 4,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Owner,874/,14,Joyce Chase,Quadrant,Ms.,Lakshit,Lall,f,0415 399 640,judy79@example.com
2022-05-14,1,599.0,656,16 out of 23,Sydney,Unfurnished,Bachelors/Family,2,Contact Owner,Apt. 463 ,08,Jack Edge,Fire Track,Mrs.,Brianna,Jordan,f,(02) 6521 7026,thomasrios@example.net
2022-05-26,3,645.0,950,7 out of 12,Sydney,Unfurnished,Family,3,Contact Agent,0/,9,Rachel Common,Gate,Dr.,Eric,Lee,m,+61-455-682-674,kelleysteven@example.org
2022-06-04,2,617.0,719,14 out of 20,Sydney,Semi-Furnished,Family,2,Contact Agent,Suite 932 ,24,Ashley Byway,Centre,Dr.,Brandon,King,m,03 0207 6937,vaughaneric@example.com
2022-05-18,4,1836.0,3064,18 out of 45,Sydney,Semi-Furnished,Family,4,Contact Agent,5/,73,Pamela Vista,Path,Dr.,Melody,Lara,f,4738-0652,morganmolly@example.com
2022-05-19,2,606.0,650,15 out of 15,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Agent,Flat 20 ,59,Holmes Heights,Track,Dr.,Cassandra,Payne,f,(07)-5450-6489,brad42@example.com
2022-06-20,2,585.0,670,1 out of 20,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Owner,Unit 64 ,978,Robinson Copse,Quay,Dr.,Courtney,Luna,f,+61.7.8047.0788,myersandrea@example.org
2022-05-31,2,597.0,700,3 out of 7,Sydney,Furnished,Family,2,Contact Agent,Flat 45 ,736,Wyatt Crossroad,Ramp,Mr.,Tania,Parkes,m,(08) 0026 6199,tanya34@example.org
2022-05-19,5,1131.0,3400,2 out of 5,Sydney,Semi-Furnished,Bachelors/Family,5,Contact Agent,Unit 78 ,728,Small Street,Highway,Mrs.,Crystal,Gray,f,60531116,boothjames@example.org
2022-05-30,2,613.0,980,Ground out of 5,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Owner,575/,2,Armstrong Roads,Roads,,Michael,Golden,u,2872-5951,yhaynes@example.org
2022-05-17,4,914.0,2800,2 out of 9,Sydney,Furnished,Family,4,Contact Agent,Unit 31 ,21,Leah Common,Follow,,Cynthia,Beard,u,+61 3 1418 8540,ifarmer@example.net
2022-05-14,2,626.0,700,4 out of 6,Sydney,Furnished,Bachelors,3,Contact Agent,Apt. 853 ,58,Adam Footway,Colonnade,Mrs.,Kathy,Martin,f,3660 1998,acostajennifer@example.net
2022-05-19,2,627.0,720,12 out of 22,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Agent,Unit 29 ,4,Samantha Walk,Arcade,,Amber,Estrada,u,+61-490-927-612,dustin63@example.net
2022-05-31,2,591.0,700,4 out of 12,Sydney,Furnished,Bachelors/Family,2,Contact Agent,Suite 578 ,4,Noah Centreway,Landing,Mrs.,Christina,Cox,f,+61705172184,jgutierrez@example.com
2022-05-31,2,747.0,1000,4 out of 9,Sydney,Semi-Furnished,Bachelors/Family,3,Contact Agent,366/,01,Sanders Access,Strip,Mrs.,Mary,King,f,(02) 6690 1793,elamb@example.net
2022-06-12,5,939.0,3000,2 out of 22,Sydney,Furnished,Bachelors/Family,5,Contact Agent,121/,6,Devin Parklands,Pathway,Dr.,Travis,Hampton,m,0407-124-172,ginaparsons@example.org
2022-05-22,4,786.0,1755,6 out of 18,Sydney,Semi-Furnished,Family,4,Contact Agent,0/,7,Maxwell Circlet,Steps,Mrs.,Melissa,Hoover,f,+61.8.4696.4121,cheyennedavis@example.net
2022-05-31,3,798.0,1850,35 out of 55,Sydney,Semi-Furnished,Bachelors,4,Contact Agent,592/,86,Teresa Interchange,Anchorage,Dr.,Christian,Johnson,m,+61.3.3157.5822,ntrujillo@example.com
2022-05-06,2,565.0,890,4 out of 4,Sydney,Unfurnished,Bachelors/Family,2,Contact Owner,248/,15,Dwayne Vale,Byway,Dr.,Bhekisisa,Mpila,f,+61-497-607-567,jensenpatrick@example.net
2022-06-23,3,651.0,1200,5 out of 12,Sydney,Semi-Furnished,Bachelors/Family,3,Contact Agent,753/,8,Patterson Motorway,Ride,Dr.,Gregory,Park,m,+61-438-901-111,jeffreywright@example.net
2022-06-16,3,661.0,1100,9 out of 20,Sydney,Furnished,Bachelors,3,Contact Agent,Apt. 667 ,012,Donna Lower,Entrance,,Yolanda,Santos,u,+61338502224,dustin41@example.org
2022-06-03,4,747.0,1705,16 out of 29,Sydney,Semi-Furnished,Family,3,Contact Agent,Level 0 ,656,Kevin Mall,Vale,Dr.,Kimberly,Hayes,f,0475 422 312,cody81@example.com
2022-06-23,3,798.0,1300,1 out of 7,Sydney,Furnished,Bachelors,3,Contact Agent,7/,038,Ortega Ramble,Lane,,Randall,Cunningham,u,4497.0982,lisaromero@example.org
2022-06-08,3,760.0,1355,30 out of 45,Sydney,Furnished,Bachelors/Family,3,Contact Agent,Unit 04 ,658,Turner Row,Corso,Mrs.,Karen,Jimenez,f,(08) 8057 1522,drojas@example.com
2022-06-20,1,587.0,450,5 out of 7,Sydney,Semi-Furnished,Bachelors,2,Contact Agent,490/,72,Devin Strip,Esplanade,Mr.,Steven,Pineda,m,+61-494-616-549,meyerjeffrey@example.net
2022-05-27,3,670.0,1350,5 out of 12,Sydney,Unfurnished,Family,3,Contact Agent,Flat 71 ,297,Nguyen Expressway,Retreat,,Barry,Wallace,u,0295223711,sean39@example.org
2022-05-14,2,677.0,825,17 out of 22,Sydney,Furnished,Bachelors,2,Contact Agent,410/,227,James Viaduct,Circus,Mrs.,Lisa,Morgan,f,02 9868 9774,nicolehernandez@example.org
2022-05-25,1,579.0,430,5 out of 7,Sydney,Unfurnished,Family,1,Contact Agent,Suite 918 ,81,Blair Promenade,Green,Dr.,Miguel,Knight,m,(07).9965.8645,shaunlopez@example.com
2022-06-16,1,578.0,320,5 out of 7,Sydney,Furnished,Bachelors/Family,1,Contact Agent,Suite 048 ,83,Joshua Viaduct,Firetrail,Mr.,Phillip,Bishop,m,+61324330080,davidoliver@example.org
2022-06-23,3,651.0,1100,4 out of 12,Sydney,Semi-Furnished,Bachelors/Family,3,Contact Agent,Suite 056 ,92,Wilson Block,Quay,Mrs.,Lauren,Mcdonald,f,1652.2551,danielvasquez@example.com
2022-05-14,4,747.0,1460,11 out of 13,Sydney,Semi-Furnished,Bachelors/Family,4,Contact Agent,Unit 81 ,57,Parker Block,Rise,Mr.,Gary,Morris,m,31964144,melissa38@example.net
2022-06-12,3,683.0,1250,6 out of 18,Sydney,Furnished,Bachelors/Family,3,Contact Agent,325/,772,Jessica Ridge,Close,Dr.,Brittney,Alvarez,f,+61 467 051 605,gina32@example.com
2022-06-23,2,581.0,400,3 out of 3,Sydney,Furnished,Bachelors/Family,1,Contact Owner,Suite 653 ,4,Parker State Highway,Glade,,Jaclyn,Morales,u,4497.1149,dbennett@example.net
2022-04-29,1,574.0,225,Ground out of 4,Sydney,Unfurnished,Bachelors,1,Contact Owner,Apt. 427 ,03,Smith Little,Circle,,Daniel,Calhoun,u,0452 851 742,nathanphillips@example.net
2022-05-13,2,606.0,650,12 out of 19,Sydney,Furnished,Bachelors/Family,2,Contact Agent,Level 4 ,5,Hudson Ridgeway,Crossing,Mrs.,Kelli,Stewart,f,(08).2944.9102,cduncan@example.com
2022-05-31,2,574.0,610,Ground out of 6,Sydney,Semi-Furnished,Bachelors,1,Contact Owner,27/,64,Cherry Terrace,Strip,Mr.,Alex,Decker,m,0750.9841,jennycontreras@example.org
2022-06-18,1,587.0,340,13 out of 23,Sydney,Unfurnished,Bachelors/Family,1,Contact Agent,Flat 18 ,588,Hudson Freeway,Driveway,Miss,Diane,Ritter,f,+61 8 0036 5945,daniel69@example.org
2022-05-23,2,599.0,471,9 out of 38,Sydney,Semi-Furnished,Bachelors,2,Contact Agent,89/,77,Robert Vista,Highway,,Shelly,Gibson,u,+61.7.1435.4197,brobinson@example.net
2022-06-03,1,651.0,550,6 out of 8,Sydney,Furnished,Bachelors/Family,2,Contact Agent,Unit 16 ,30,Barbara Reserve,Footway,Mrs.,Amber,Mack,f,08-2803-6073,marcus52@example.com
2022-05-19,2,613.0,630,8 out of 13,Sydney,Semi-Furnished,Bachelors/Family,1,Contact Agent,639/,77,Michelle Circuit,Way,,Diana,Jones,u,(03) 5069 7241,danielle63@example.com
2022-05-27,1,600.0,500,1 out of 8,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Owner,5/,581,Davis Promenade,Reserve,,Charles,Nielsen,u,(07)35954036,darren24@example.net
2022-06-20,4,850.0,1528,65 out of 76,Sydney,Unfurnished,Family,4,Contact Agent,8/,533,Susan Dell,Follow,,Stephen,Stevens,u,(07) 2134 4450,rochacrystal@example.org
2022-05-17,2,600.0,650,5 out of 7,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Agent,312/,228,Christopher Range,Key,Mrs.,Barbara,Mcbride,f,+61-3-9853-2888,sandra70@example.net
2022-05-31,1,566.0,500,6 out of 7,Sydney,Unfurnished,Bachelors,1,Contact Owner,Unit 41 ,420,Hayes Circus,Circlet,Mr.,Timothy,Moore,m,+61 422 819 161,deborahmason@example.org
2022-05-19,3,658.0,850,19 out of 30,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Agent,08/,22,Kenneth Trail,Elbow,Mrs.,Brenda,Friedman,f,+61860111779,jeanne73@example.net
2022-05-14,1,626.0,550,13 out of 14,Sydney,Semi-Furnished,Bachelors,1,Contact Agent,Level 7 ,0,Zimmerman Artery,Sound,Mr.,Alex,Adams,m,3246 8681,bauermichael@example.com
2022-06-12,1,587.0,430,7 out of 21,Sydney,Unfurnished,Family,2,Contact Agent,28/,9,Thomas Roads,Strand,,Karen,Hume,u,0479-301-303,marcus42@example.org
2022-06-20,3,632.0,1050,12 out of 13,Sydney,Unfurnished,Bachelors,3,Contact Agent,4/,50,Elizabeth Beach,Cove,Mr.,Steven,Vargas,m,08 6703 3478,jesustaylor@example.net
2022-05-23,2,601.0,700,4 out of 15,Sydney,Unfurnished,Bachelors/Family,2,Contact Agent,59/,7,Nelson Highway,Steps,Mrs.,Andrea,Miller,f,+61219381017,smithelizabeth@example.net
2022-06-24,3,786.0,1200,10 out of 12,Sydney,Semi-Furnished,Bachelors/Family,3,Contact Agent,3/,46,Rachel Motorway,Plateau,,Angela,Oneal,u,+61-457-670-867,anthony91@example.net
2022-06-23,3,651.0,1000,6 out of 12,Sydney,Furnished,Bachelors/Family,3,Contact Agent,56/,538,Contreras Riviera,Copse,Dr.,Patrick,Wright,m,(07)-0800-0586,crystalhernandez@example.net
2022-06-20,2,565.0,550,3 out of 9,Sydney,Unfurnished,Family,2,Contact Agent,Apt. 726 ,43,Daniel Roadway,Avenue,Mrs.,Dawn,Johnston,f,(02).0879.8721,ronaldmcclain@example.com
2022-05-10,3,619.0,806,2 out of 4,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Owner,27/,238,Mary Siding,Boulevard,Mrs.,Amber,Casey,f,2334 9947,williamsdouglas@example.org
2022-05-31,1,561.0,475,3 out of 4,Sydney,Unfurnished,Bachelors/Family,1,Contact Owner,Flat 16 ,37,Dawson Subway,Circle,,Anna,Garcia,u,+61.476.383.257,meyerkatrina@example.org
2022-06-16,2,596.0,475,8 out of 12,Sydney,Unfurnished,Bachelors,2,Contact Agent,53/,008,Jesse Row,Rise,Mr.,Shawn,Walton,m,(02)-3518-7834,javier55@example.org
2022-05-12,2,619.0,900,1 out of 8,Sydney,Furnished,Family,2,Contact Agent,Level 9 ,05,Gibson Wynd,Quay,Mr.,Dhanush,Bhavsar,m,03 9336 9797,davischristina@example.org
2022-04-29,1,582.0,650,6 out of 10,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Owner,Apt. 080 ,227,Justin Trailer,Quadrangle,Mr.,Jose,Collins,m,0284103562,salazarmichael@example.net
2022-04-29,1,590.0,550,4 out of 15,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Owner,Apt. 670 ,08,Vincent Frontage,Brow,Ms.,Michelle,Nelson,f,0404-904-845,jessica45@example.org
2022-05-31,1,565.0,520,6 out of 8,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Owner,9/,61,Erica Mall,Mew,Mr.,Troy,Watkins,m,0292349719,ryanharding@example.net
2022-06-15,1,651.0,575,1 out of 9,Sydney,Semi-Furnished,Family,1,Contact Agent,Level 7 ,0,Pierce Tarn,Part,Mrs.,Crystal,Decker,f,(08)-9535-2537,cherylthomas@example.com
2022-06-13,1,574.0,470,5 out of 22,Sydney,Semi-Furnished,Family,2,Contact Agent,Level 5 ,270,Carrillo Elbow,Port,Mr.,Andre,Wu,m,+61.475.501.419,elizabeth05@example.org
2022-05-27,2,635.0,750,12 out of 16,Sydney,Unfurnished,Bachelors/Family,2,Contact Agent,Flat 62 ,84,Lee Tarn,Bypass,Mrs.,Ashley,Duncan,f,+61.484.587.732,qkim@example.org
2022-05-27,4,1067.0,2424,5 out of 14,Sydney,Semi-Furnished,Bachelors/Family,5,Contact Agent,24/,15,Justin Ridgeway,Crossroad,Mr.,Olwen,Ó,m,(07)66379498,taylor33@example.com
2022-05-19,1,594.0,600,5 out of 5,Sydney,Furnished,Bachelors/Family,1,Contact Owner,274/,51,Rachel Chase,Cruiseway,Mrs.,Rachel,Barnes,f,0868303681,wmckenzie@example.org
2022-06-23,3,696.0,1076,9 out of 40,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Agent,Flat 45 ,5,Cunningham Basin,Plateau,Mr.,Vincent,Davis,m,2596-4841,kimberly99@example.com
2022-04-29,1,581.0,800,3 out of 4,Sydney,Unfurnished,Bachelors/Family,2,Contact Owner,Unit 42 ,89,Miller Gates,Vista,Mrs.,Cheryl,Anderson,f,5247 4026,blindsey@example.com
2022-06-22,2,645.0,700,Ground out of 8,Sydney,Semi-Furnished,Bachelors,2,Contact Agent,Suite 383 ,564,Dominique Circle,Glade,,Amahle,Nkala-Ngcemu,u,0454.386.958,elizabethhill@example.org
2022-05-23,2,638.0,700,4 out of 9,Sydney,Furnished,Bachelors,2,Contact Agent,Unit 56 ,8,Jeffrey Lookout,Trailer,Mr.,Nicholas,Clark,m,2865 8042,whitejoan@example.org
2022-06-17,1,578.0,225,18 out of 24,Sydney,Unfurnished,Bachelors,2,Contact Agent,Flat 64 ,4,Cindy Glade,Ground,,Kenneth,Mckinney,u,+61 426 914 051,vanessa77@example.org
2022-06-23,1,617.0,485,8 out of 17,Sydney,Furnished,Bachelors/Family,2,Contact Agent,11/,98,Hughes Walkway,State Highway,Dr.,Cassandra,Phillips,f,(03) 0012 2358,christian10@example.com
2022-04-29,1,568.0,225,7 out of 8,Sydney,Unfurnished,Bachelors/Family,1,Contact Owner,9/,39,Anthony Bend,Deviation,,Rebecca,Connolly,u,+61.462.094.358,dunndavid@example.org
2022-06-16,1,596.0,478,4 out of 11,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Agent,Apt. 215 ,66,Alexander Villas,Reach,,Ronald,Harrison,u,99219534,brookedavis@example.com
2022-05-10,3,596.0,1200,4 out of 5,Sydney,Semi-Furnished,Bachelors/Family,3,Contact Owner,Level 1 ,2,Nguyen Range,Expressway,Mrs.,Emily,Turner,f,(02).8792.1455,maria80@example.net
2022-06-08,1,583.0,280,3 out of 7,Sydney,Unfurnished,Bachelors/Family,1,Contact Agent,Level 5 ,219,Christopher Crest,Colonnade,Dr.,Mark,Mason,m,0257456957,obennett@example.org
2022-06-20,1,562.0,385,3 out of 9,Sydney,Unfurnished,Family,1,Contact Agent,Level 8 ,792,Perez Break,Port,Mr.,Jason,Cox,m,+61.7.0993.2265,icruz@example.com
2022-05-25,3,574.0,704,5 out of 17,Sydney,Unfurnished,Bachelors/Family,2,Contact Owner,899/,4,Sandra Viaduct,Ramp,Dr.,Susan,Hughes,f,02.2333.2333,david28@example.com
2022-04-29,2,606.0,710,3 out of 4,Sydney,Unfurnished,Bachelors/Family,2,Contact Owner,Suite 137 ,5,Maxwell Beach,Walk,Mr.,Steven,Green,m,(03).7205.8156,davisedwin@example.com
2022-04-29,1,591.0,525,2 out of 8,Sydney,Unfurnished,Bachelors/Family,1,Contact Owner,Apt. 720 ,118,Smith Little,Circus,,Heather,Key,u,28380537,hthomas@example.org
2022-05-27,2,613.0,700,3 out of 7,Sydney,Unfurnished,Bachelors/Family,2,Contact Agent,Unit 05 ,58,Brandon Terrace,Piazza,,Micheal,Griffin,u,0102-5160,herrerakim@example.org
2022-06-10,2,786.0,1000,6 out of 10,Sydney,Semi-Furnished,Bachelors,3,Contact Agent,930/,64,Diana Break,Riverway,Mr.,Andrew,Bullock,m,6744.8046,karen94@example.org
2022-06-24,3,760.0,2000,Upper Basement out of 30,Sydney,Furnished,Family,3,Contact Agent,0/,085,James Rue,Run,Mr.,John,Ward,m,+61.3.8215.0020,jason52@example.com
2022-05-10,2,606.0,625,6 out of 10,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Owner,191/,6,John Range,Ramble,Mr.,Stephen,Richards,m,+61716807518,derektaylor@example.com
2022-05-23,2,647.0,700,3 out of 9,Sydney,Furnished,Bachelors,2,Contact Agent,04/,4,White Centreway,Parade,Ms.,Jacqueline,Kane,f,(02)15111214,hmccormick@example.org
2022-06-11,2,576.0,600,2 out of 3,Sydney,Unfurnished,Family,1,Contact Owner,Level 8 ,023,Jennifer Garden,State Highway,,Lisa,Velasquez,u,+61 7 9613 1923,eferguson@example.net
2022-05-27,1,586.0,370,5 out of 8,Sydney,Semi-Furnished,Family,1,Contact Agent,Unit 38 ,00,Carolyn Drive,Triangle,,David,Stark,u,03 4612 2015,ashley30@example.org
2022-06-16,2,590.0,650,2 out of 7,Sydney,Unfurnished,Bachelors,2,Contact Agent,Flat 72 ,814,Jacobs Roadway,Walk,,Jonathan,Mendez,u,+61.3.9617.6672,williamarroyo@example.org
2022-06-14,2,622.0,750,2 out of 9,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Agent,82/,072,Schaefer Little,Roadway,,Kevin,Jones,u,08.3777.9280,yesenia92@example.org
2022-06-13,2,609.0,745,10 out of 11,Sydney,Semi-Furnished,Bachelors/Family,2,Contact Agent,15/,3,Rebecca Anchorage,Ramp,,Diana,Thompson,u,+61 413 201 895,cphillips@example.org
2022-05-31,2,632.0,800,2 out of 7,Sydney,Furnished,Family,2,Contact Agent,Suite 372 ,2,Joshua Terrace,Broadway,Mrs.,Tamara,Hebert,f,+61-443-441-442,sanchezmichelle@example.com
2022-06-12,3,621.0,1265,10 out of 28,Sydney,Unfurnished,Family,3,Contact Agent,7/,3,Smith Line,Ridge,Mrs.,Tiffany,Parker,f,(03).8998.9980,curtisjoshua@example.org
2022-06-12,2,683.0,750,Ground out of 6,Sydney,Furnished,Bachelors/Family,2,Contact Owner,11/,422,Henderson Point,Anchorage,,Denise,Peterson,u,+61.7.2052.7284,clineronald@example.org
2022-05-21,2,638.0,600,14 out of 17,Sydney,Unfurnished,Bachelors,2,Contact Agent,096/,283,Rodriguez Artery,Rue,Ms.,Lisa,Stevens,f,+61 8 3635 2403,oball@example.net
2022-06-24,1,585.0,500,3 out of 9,Sydney,Unfurnished,Bachelors/Family,1,Contact Agent,Unit 53 ,40,Ashley Corner,Causeway,,Andrew,Powell,u,(07)69711018,dawnruiz@example.com
2022-06-23,3,613.0,950,15 out of 17,Sydney,Unfurnished,Bachelors/Family,3,Contact Agent,455/,57,Wendy Link,Cruiseway,,Thomas,Le,u,0454.269.281,jeff35@example.net
2022-06-20,3,747.0,1600,6 out of 7,Sydney,Semi-Furnished,Bachelors/Family,3,Contact Agent,Suite 465 ,430,Aaron Rue,Ronde,Dr.,Richard,Johnson,m,+61.3.1893.8443,katherineobrien@example.org
2022-06-03,1,583.0,430,4 out of 6,Sydney,Unfurnished,Family,1,Contact Agent,Suite 685 ,699,Patrick Viaduct,Causeway,Mrs.,Kathryn,Acosta,f,0412-509-912,odomelizabeth@example.org
2022-06-07,2,651.0,700,4 out of 7,Sydney,Semi-Furnished,Bachelors,3,Contact Agent,167/,566,Sara Tollway,Wynd,Miss,Paula,Castro,f,0437 769 992,anthonylynch@example.com
2022-05-22,2,608.0,780,14 out of 18,Sydney,Unfurnished,Bachelors/Family,2,Contact Agent,Level 7 ,941,Heather Riverway,Formation,Mr.,Kevin,Ruiz,m,+61 2 9360 2590,zjones@example.com
2022-06-02,4,747.0,1300,5 out of 13,Sydney,Semi-Furnished,Bachelors/Family,4,Contact Agent,04/,568,Beck Chase,Colonnade,Dr.,Paul,Bonilla,m,(02) 8706 3650,maryparker@example.com
2022-06-20,3,747.0,1350,18 out of 32,Sydney,Semi-Furnished,Bachelors/Family,3,Contact Agent,728/,2,Fernandez Court,Copse,Mrs.,Kelly,Hogan,f,(03)89513689,timothy18@example.net
2022-05-14,2,623.0,750,5 out of 18,Sydney,Furnished,Bachelors/Family,2,Contact Agent,Level 0 ,351,Samantha Pass,Causeway,Dr.,Peter,Hanson,m,22760026,amandacampbell@example.org
2022-05-31,4,734.0,1400,10 out of 25,Sydney,Semi-Furnished,Bachelors/Family,3,Contact Agent,03/,4,Mills Foreshore,Terrace,Mr.,Joseph,Castillo,m,+61-495-619-288,stanleygibson@example.net
2022-05-23,1,617.0,500,4 out of 9,Sydney,Furnished,Bachelors,1,Contact Agent,Apt. 029 ,6,Lindsey Parkway,Quad,Dr.,Savannah,Pearson,f,+61873806984,adavis@example.org
2022-06-23,2,605.0,750,1 out of 3,Sydney,Semi-Furnished,Family,2,Contact Agent,8/,093,Castillo Brace,Grange,Mrs.,Lori,Johnson,f,+61 410 544 982,sharon33@example.com
2022-06-01,4,2092.0,5000,4 out of 15,Sydney,Semi-Furnished,Bachelors/Family,4,Contact Agent,945/,5,Dunn Lookout,Fairway,Dr.,Nicole,Arnold,f,9222 8878,shess@example.net
2022-04-29,1,587.0,596,1 out of 7,Sydney,Semi-Furnished,Bachelors/Family,1,Contact Owner,Unit 50 ,1,Nathan Boulevard,Colonnade,Mrs.,Allison,Lyons,f,(08).4849.3371,brian00@example.net
2022-05-17,4,798.0,1950,11 out of 21,Sydney,Unfurnished,Bachelors/Family,4,Contact Agent,Level 1 ,889,Guerrero Meander,Ronde,Mrs.,Megan,Carter,f,03.1153.6875,johnsonstephen@example.com
2022-05-01,1,600.0,510,3 out of 4,Sydney,Semi-Furnished,Bachelors/Family,1,Contact Owner,Level 9 ,3,Miranda Parkway,Spur,Mr.,Billy,Alvarez,m,+61.8.8713.3362,bennettjames@example.com
2022-06-20,1,632.0,500,5 out of 7,Sydney,Furnished,Bachelors/Family,1,Contact Agent,Flat 86 ,4,Heather Broadway,Part,,Jeremy,Ortiz,u,32756358,jonesanthony@example.net
2022-04-29,1,574.0,375,13 out of 16,Sydney,Unfurnished,Bachelors/Family,1,Contact Owner,Suite 949 ,36,Davis Crescent,Pocket,Mrs.,Mrs.,Laura,f,+61 407 351 422,cookchristy@example.com
2022-05-21,1,605.0,500,2 out of 7,Sydney,Furnished,Family,1,Contact Agent,18/,729,Johnson Tor,Parkway,,Jennifer,Franklin,u,(02)20879971,brownlindsey@example.org
